Date, L1 (layered) , L2 (layered) , L3 (layered) , L6 (layered) , L12 (layered) , L24 (layered) , L36 (layered) , L48 (layered) , L60 (layered) , L84 (layered) , L120 (layered) , L240 (layered) , L360 (layered) , I12 (indexed) , I24 (indexed) , I36 (indexed) , I48 (indexed) , I60 (indexed) , I84 (indexed) , I120 (indexed) , I360 (indexed) , T12 (treasury) , T24 (treasury) , T36 (treasury) , T60 (treasury) , T84 (treasury) , T120 (treasury) ,  F1 (floating)  ,  F3 (floating)  , F6 (floating) , F12 (floating) , PrimeMC , B1 (libor) , B3 (libor) , B6 (libor) , B12 (libor) , C1 (CP)  , C3 (CP)  , R (prime rate)  ,G (GECPAC)
1/2/2003,0.0153,0.0153,0.0153,0.0153,0.0161,0.0246,0.0291,0.0354,0.04,0.0469,0.0529,0.0613,0.0619,0.0154,0.0212,0.0265,0.0309,0.0345,0.0399,0.045,0.0535,0.0142,0.018,0.0222,0.0305,0.0362,0.0407,0.0167,0.0167,0.0167,0.0161,0.02,0.0138,0.0138,0.0138,0.014575,0.0126,0.0128,0.0425,0.0028
1/3/2003,0.0153,0.0153,0.0154,0.0155,0.0169,0.0246,0.0292,0.0356,0.0402,0.0471,0.0531,0.0614,0.062,0.0154,0.0212,0.0267,0.0311,0.0347,0.0401,0.0452,0.0536,0.0141,0.0179,0.02,0.0303,0.036,0.0405,0.0167,0.0167,0.0169,0.0169,0.02,0.0138,0.0139,0.0140375,0.0154,0.0126,0.0126,0.0425,0.0028
1/6/2003,0.0153,0.0153,0.0154,0.0156,0.017,0.025,0.0297,0.036,0.0406,0.0474,0.0533,0.0615,0.0621,0.0156,0.0217,0.0271,0.0315,0.0351,0.0404,0.0454,0.0538,0.0144,0.0184,0.0226,0.031,0.0364,0.0409,0.0167,0.0167,0.0168,0.017,0.02,0.0138,0.0138875,0.0140563,0.0154875,0.0124,0.0124,0.0425,0.0028
1/7/2003,0.0153,0.0153,0.0154,0.0155,0.017,0.0244,0.0291,0.0355,0.0402,0.0469,0.0527,0.061,0.0616,0.0152,0.021,0.0266,0.031,0.0347,0.0399,0.0448,0.0533,0.014,0.0177,0.0219,0.0304,0.036,0.0404,0.0165,0.0165,0.0168,0.017,0.02,0.0137875,0.013875,0.0140063,0.0155,0.0125,0.0128,0.0425,0.0028
1/8/2003,0.0153,0.0153,0.0153,0.0154,0.0166,0.0238,0.0284,0.0348,0.0394,0.0463,0.0522,0.0608,0.0614,0.015,0.0205,0.0259,0.0303,0.034,0.0392,0.0443,0.053,0.0136,0.0171,0.0214,0.0301,0.0356,0.04,0.0165,0.0165,0.0167,0.0166,0.02,0.0137875,0.0138,0.0139,0.0151,0.0125,0.0127,0.0425,0.0028
1/9/2003,0.0153,0.0153,0.0153,0.0154,0.0166,0.025,0.03,0.0367,0.0415,0.0483,0.054,0.0624,0.063,0.0154,0.0216,0.0274,0.0322,0.0361,0.0413,0.0461,0.0546,0.0144,0.0187,0.0233,0.0323,0.0377,0.0419,0.0165,0.0165,0.0167,0.0166,0.02,0.01375,0.0138,0.0139,0.0151125,0.0126,0.0128,0.0425,0.0028
1/10/2003,0.0163,0.0164,0.0164,0.0166,0.0181,0.0248,0.03,0.0367,0.0416,0.0483,0.0541,0.0623,0.0629,0.0153,0.0214,0.0275,0.0322,0.0361,0.0413,0.0461,0.0545,0.0139,0.0179,0.0226,0.032,0.0374,0.0416,0.0163,0.0163,0.0165,0.0181,0.02,0.013725,0.0138,0.014,0.0154625,0.0125,0.0125,0.0425,0.0028
1/13/2003,0.0163,0.0163,0.0164,0.0165,0.0178,0.0248,0.03,0.0366,0.0414,0.0482,0.0541,0.0621,0.0627,0.0151,0.0214,0.0275,0.0321,0.0359,0.0412,0.0462,0.0543,0.0141,0.0181,0.0227,0.0317,0.0372,0.0415,0.0165,0.0165,0.0167,0.0178,0.02,0.0137,0.0137563,0.0139,0.0152,0.0127,0.0129,0.0425,0.0028
1/14/2003,0.0163,0.0163,0.0163,0.0165,0.0177,0.0243,0.0294,0.036,0.0407,0.0476,0.0535,0.0616,0.0623,0.0149,0.021,0.0269,0.0315,0.0352,0.0405,0.0456,0.0539,0.014,0.0176,0.0221,0.031,0.0366,0.041,0.0165,0.0165,0.0167,0.0177,0.02,0.0136875,0.0137313,0.0139,0.0151,0.0123,0.0129,0.0425,0.0028
1/15/2003,0.0163,0.0163,0.0163,0.0164,0.0175,0.0239,0.029,0.0355,0.0403,0.0472,0.0531,0.0614,0.062,0.0148,0.0205,0.0264,0.0311,0.0348,0.0402,0.0452,0.0536,0.0137,0.0175,0.0221,0.031,0.0365,0.041,0.0165,0.0165,0.0167,0.0175,0.02,0.0136625,0.0137,0.0138,0.0149,0.0125,0.0131,0.0425,0.0028
