Date, L1 (layered) , L2 (layered) , L3 (layered) , L6 (layered) , L12 (layered) , L24 (layered) , L36 (layered) , L48 (layered) , L60 (layered) , L84 (layered) , L120 (layered) 
3/1/2005,0.001992882,0.002049964,0.002113332,0.002246354,0.002537847,0.00369839,0.005728187,0.007660281,0.009680328,0.013895833,0.01855827
5/25/2005,0.0021,0.0022,0.0023,0.0024,0.0027,0.0025,0.0038,0.0056,0.0073,0.0111,0.0157
5/26/2005,0.0021,0.0022,0.0023,0.0024,0.0027,0.0025,0.0038,0.0057,0.0073,0.0113,0.0159
5/27/2005,0.0021,0.0022,0.0023,0.0024,0.0027,0.0026,0.0039,0.0058,0.0075,0.0113,0.016
5/31/2005,0.0021,0.0022,0.0023,0.0024,0.0027,0.0026,0.0039,0.0058,0.0074,0.0109,0.0161
6/1/2005,0.0021,0.0022,0.0023,0.0024,0.0027,0.0023,0.0036,0.0055,0.007,0.0106,0.0158
6/2/2005,0.0021,0.0022,0.0023,0.0024,0.0027,0.0026,0.0039,0.0058,0.0073,0.011,0.0161
6/3/2005,0.0021,0.0022,0.0023,0.0024,0.0027,0.0024,0.0037,0.0056,0.0072,0.0107,0.0158
6/6/2005,0.0021,0.0022,0.0023,0.0024,0.0027,0.0025,0.0038,0.0056,0.0073,0.0108,0.0159
6/7/2005,0.0021,0.0022,0.0023,0.0024,0.0027,0.0024,0.0036,0.0054,0.0069,0.0104,0.0155
6/17/2005,0.0021,0.0022,0.0023,0.0024,0.0026,0.0025,0.0041,0.0061,0.0078,0.0115,0.0165
6/20/2005,0.0021,0.0022,0.0023,0.0024,0.0026,0.0026,0.0041,0.0061,0.0077,0.0118,0.0161
6/21/2005,0.0021,0.0022,0.0023,0.0024,0.0026,0.0026,0.0039,0.006,0.0077,0.0117,0.016
6/22/2005,0.003,0.0031,0.0032,0.0033,0.0035,0.0035,0.0048,0.0068,0.0083,0.0124,0.0167
6/23/2005,0.003,0.0031,0.0032,0.0033,0.0035,0.0034,0.0045,0.0066,0.0079,0.012,0.0163
6/24/2005,0.003,0.0031,0.0032,0.0033,0.0036,0.0032,0.0045,0.0065,0.0079,0.0118,0.0162
6/27/2005,0.003,0.0031,0.0032,0.0033,0.0035,0.0031,0.0045,0.0063,0.0077,0.0115,0.0158
6/28/2005,0.003,0.0031,0.0032,0.0033,0.0035,0.0032,0.0046,0.0065,0.008,0.0119,0.0162
6/30/2005,0.003,0.0031,0.0032,0.0033,0.0035,0.0031,0.0043,0.0061,0.0076,0.0114,0.0158
7/1/2005,0.003,0.0031,0.0032,0.0033,0.0035,0.0032,0.0046,0.0064,0.0078,0.0117,0.016
7/5/2005,0.003,0.0031,0.0032,0.0033,0.0035,0.0035,0.0047,0.0066,0.0083,0.012,0.0164
7/6/2005,0.0021,0.0022,0.0023,0.0024,0.0036,0.0041,0.0054,0.0073,0.0088,0.0131,0.0174
7/7/2005,0.0021,0.0022,0.0023,0.0024,0.0036,0.0038,0.005,0.0068,0.0086,0.0128,0.017
7/8/2005,0.0021,0.0022,0.0023,0.0024,0.0037,0.0038,0.0051,0.0069,0.0086,0.0128,0.0172
7/11/2005,0.0021,0.0022,0.0023,0.0024,0.0037,0.0041,0.0053,0.0071,0.0089,0.0131,0.0174
7/12/2005,0.0021,0.0022,0.0023,0.0024,0.0037,0.0039,0.0053,0.0071,0.0088,0.0131,0.0175
7/14/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.004,0.0055,0.0073,0.0087,0.0133,0.0174
7/15/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.004,0.0056,0.0075,0.0089,0.0135,0.0175
7/18/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0042,0.0057,0.0073,0.0089,0.0133,0.0175
7/19/2005,0.0022,0.0022,0.0023,0.0024,0.0036,0.0042,0.0058,0.0074,0.009,0.0133,0.0175
7/20/2005,0.0022,0.0022,0.0023,0.0024,0.0036,0.0042,0.0058,0.0074,0.009,0.0134,0.0176
7/21/2005,0.0022,0.0022,0.0023,0.0024,0.0036,0.004,0.0056,0.0071,0.0089,0.0132,0.0174
7/22/2005,0.0022,0.0022,0.0023,0.0024,0.0036,0.004,0.0056,0.0071,0.0086,0.0129,0.0171
7/25/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0041,0.0056,0.0071,0.0086,0.0129,0.0172
7/26/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0042,0.0058,0.0073,0.0089,0.0132,0.0176
7/27/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0042,0.0058,0.0074,0.0092,0.0136,0.0179
7/28/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0043,0.0059,0.0075,0.0091,0.0135,0.0178
7/29/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0043,0.006,0.0076,0.0093,0.0137,0.018
8/1/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0045,0.0063,0.0079,0.0097,0.0141,0.0183
8/2/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0044,0.006,0.0075,0.0097,0.0139,0.0181
8/3/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0045,0.006,0.0081,0.0099,0.014,0.0183
8/4/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0044,0.0062,0.008,0.0098,0.0144,0.0185
8/5/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0045,0.0063,0.0082,0.01,0.0145,0.0187
8/8/2005,0.0022,0.0022,0.0023,0.0024,0.0036,0.0045,0.0064,0.0082,0.01,0.0147,0.0188
8/9/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0046,0.0064,0.0082,0.01,0.0147,0.0188
8/10/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0048,0.0067,0.0086,0.0105,0.015,0.0191
8/11/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0049,0.0069,0.0088,0.0109,0.0154,0.0194
8/12/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0049,0.0067,0.0085,0.0104,0.0149,0.019
8/15/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0048,0.0067,0.0085,0.0106,0.0152,0.0191
8/16/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0049,0.0065,0.0087,0.0106,0.0152,0.0191
8/17/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0047,0.0063,0.0083,0.0102,0.0147,0.0187
8/18/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0046,0.0065,0.0084,0.0103,0.0147,0.0187
8/19/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0046,0.0065,0.0085,0.0104,0.0149,0.0189
8/23/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0047,0.0066,0.0086,0.0104,0.0149,0.0189
8/24/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0047,0.0064,0.0084,0.0103,0.0147,0.0187
8/25/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0048,0.0066,0.0086,0.0105,0.0149,0.0189
8/26/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0048,0.0067,0.0086,0.0104,0.0148,0.0188
8/29/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0049,0.0064,0.0082,0.01,0.0141,0.0185
8/30/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0047,0.0064,0.0084,0.0101,0.0141,0.0185
8/31/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0045,0.0061,0.0079,0.0096,0.0137,0.0182
9/1/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0044,0.0059,0.0077,0.0093,0.0136,0.018
9/2/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0043,0.0058,0.0076,0.0092,0.0135,0.0179
9/6/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0046,0.0061,0.0078,0.0095,0.0136,0.018
9/7/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0045,0.0061,0.0078,0.0096,0.0139,0.0183
9/8/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.0046,0.0062,0.0079,0.0098,0.0141,0.0185
9/12/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.005,0.0067,0.0085,0.0105,0.0148,0.0191
9/13/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.005,0.0067,0.0084,0.0102,0.0131,0.0189
9/14/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.005,0.0067,0.0085,0.0103,0.0145,0.0188
9/15/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.005,0.0068,0.0086,0.0104,0.0145,0.0186
9/16/2005,0.0022,0.0022,0.0023,0.0024,0.0037,0.005,0.0068,0.0086,0.0104,0.0146,0.0189
9/19/2005,0.0016,0.0017,0.0018,0.0019,0.0032,0.005,0.007,0.0087,0.0108,0.0149,0.0191
9/20/2005,0.0016,0.0017,0.0017,0.0019,0.0032,0.0051,0.007,0.0087,0.0107,0.0148,0.0189
9/22/2005,0.0016,0.0017,0.0017,0.0019,0.0032,0.005,0.007,0.0088,0.0107,0.0149,0.0189
9/23/2005,0.0016,0.0017,0.0017,0.0019,0.0032,0.0052,0.0072,0.0089,0.0109,0.015,0.019
9/26/2005,0.0014,0.0015,0.0015,0.0017,0.003,0.0052,0.0073,0.009,0.0109,0.0152,0.0189
9/27/2005,0.0014,0.0015,0.0016,0.0017,0.003,0.0054,0.0075,0.0093,0.0112,0.0155,0.0192
9/28/2005,0.0014,0.0015,0.0016,0.0017,0.003,0.0055,0.0078,0.0097,0.0118,0.016,0.0194
9/29/2005,0.0014,0.0015,0.0016,0.0017,0.003,0.0056,0.0079,0.0099,0.0121,0.0164,0.0199
9/30/2005,0.0014,0.0015,0.0016,0.0017,0.003,0.0056,0.0079,0.0098,0.0119,0.0162,0.0198
10/4/2005,0.0014,0.0015,0.0016,0.0017,0.003,0.0056,0.0081,0.0103,0.0128,0.0171,0.0205
10/5/2005,0.0014,0.0015,0.0016,0.0017,0.003,0.0055,0.0078,0.0099,0.0121,0.0163,0.0198
10/6/2005,0.0014,0.0015,0.0016,0.0017,0.003,0.0056,0.0077,0.0098,0.0119,0.0162,0.0197
10/7/2005,0.0014,0.0015,0.0016,0.0017,0.003,0.0056,0.0079,0.01,0.0122,0.0165,0.0201
10/11/2005,0.0014,0.0015,0.0016,0.0017,0.003,0.0059,0.0082,0.0104,0.0126,0.017,0.0205
10/12/2005,0.0014,0.0015,0.0016,0.0017,0.003,0.0059,0.0082,0.0103,0.0125,0.0167,0.0204
10/13/2005,0.0014,0.0015,0.0016,0.0017,0.003,0.006,0.0083,0.0105,0.0127,0.0172,0.0208
10/14/2005,0.0014,0.0015,0.0016,0.0017,0.003,0.0061,0.0085,0.0106,0.013,0.0172,0.0208
10/17/2005,0.0014,0.0015,0.0016,0.0017,0.003,0.0061,0.0086,0.0108,0.0128,0.017,0.0206
10/18/2005,0.0014,0.0015,0.0016,0.0017,0.0031,0.006,0.0086,0.0107,0.0127,0.0169,0.0205
10/19/2005,0.0014,0.0015,0.0016,0.0017,0.0031,0.0059,0.0082,0.0103,0.0121,0.0162,0.0199
10/20/2005,0.0014,0.0015,0.0016,0.0017,0.0031,0.0059,0.0086,0.0107,0.0127,0.017,0.0206
10/21/2005,0.0014,0.0015,0.0016,0.0017,0.0031,0.0059,0.0084,0.0104,0.0123,0.0165,0.0201
10/24/2005,0.0014,0.0015,0.0016,0.0017,0.0031,0.0058,0.0083,0.0103,0.0122,0.0164,0.02
10/25/2005,0.0014,0.0015,0.0016,0.0017,0.0031,0.0059,0.0084,0.0105,0.0124,0.0167,0.0204
10/26/2005,0.0014,0.0015,0.0016,0.0017,0.0031,0.006,0.0085,0.0106,0.0125,0.017,0.0207
10/27/2005,0.0014,0.0015,0.0016,0.0017,0.0031,0.0059,0.0084,0.0104,0.0124,0.0166,0.0202
10/28/2005,0.0014,0.0015,0.0016,0.0017,0.0031,0.0059,0.0082,0.0103,0.0122,0.0165,0.0201
10/31/2005,0.0014,0.0015,0.0016,0.0017,0.0031,0.006,0.0084,0.0106,0.0126,0.0169,0.0206
11/3/2005,0.0014,0.0015,0.0016,0.0017,0.0031,0.0064,0.009,0.0112,0.0133,0.0176,0.0211
11/4/2005,0.0014,0.0015,0.0016,0.0017,0.0031,0.0066,0.0093,0.0117,0.0138,0.018,0.0213
11/7/2005,0.0014,0.0015,0.0016,0.0018,0.0031,0.0067,0.0092,0.0116,0.0137,0.0179,0.0213
11/8/2005,0.0014,0.0015,0.0016,0.0018,0.0031,0.0065,0.0091,0.0113,0.0134,0.0176,0.021
11/9/2005,0.0014,0.0015,0.0016,0.0018,0.0031,0.0062,0.009,0.0112,0.0132,0.0175,0.0209
11/10/2005,0.0014,0.0015,0.0016,0.0018,0.0031,0.0063,0.0089,0.0111,0.0132,0.0175,0.0209
11/11/2005,0.0014,0.0015,0.0016,0.0018,0.0031,0.0062,0.0088,0.011,0.0131,0.0174,0.0209
11/14/2005,0.0014,0.0015,0.0016,0.0018,0.0031,0.0061,0.0085,0.0106,0.0126,0.0168,0.0203
11/15/2005,0.0014,0.0015,0.0016,0.0018,0.0031,0.006,0.0082,0.0103,0.0123,0.0164,0.02
11/16/2005,0.0014,0.0015,0.0016,0.0018,0.0031,0.0059,0.0082,0.0103,0.0123,0.0165,0.02
11/17/2005,0.0014,0.0015,0.0016,0.0018,0.0031,0.0058,0.0082,0.0103,0.0123,0.0164,0.02
11/18/2005,0.0014,0.0015,0.0016,0.0018,0.0031,0.0059,0.0082,0.0103,0.0124,0.0166,0.0202
11/21/2005,0.0014,0.0015,0.0016,0.0018,0.0031,0.0058,0.0081,0.0102,0.0122,0.0163,0.02
11/22/2005,0.0017,0.0018,0.0019,0.002,0.0034,0.0058,0.0082,0.0101,0.0119,0.0162,0.0198
11/23/2005,0.0017,0.0018,0.0019,0.002,0.0034,0.0059,0.008,0.01,0.012,0.0162,0.0197
11/28/2005,0.0017,0.0018,0.0019,0.002,0.0034,0.0059,0.0081,0.01,0.012,0.0162,0.0198
11/29/2005,0.0017,0.0018,0.0019,0.002,0.0034,0.0058,0.0081,0.0101,0.012,0.0162,0.0198
11/30/2005,0.0017,0.0018,0.0019,0.002,0.0034,0.0058,0.008,0.01,0.0119,0.0161,0.0197
12/1/2005,0.0017,0.0018,0.0019,0.002,0.0033,0.0057,0.008,0.0099,0.0119,0.0161,0.0197
12/2/2005,0.0017,0.0018,0.0019,0.002,0.0034,0.0058,0.0082,0.0103,0.0124,0.0167,0.0202
12/5/2005,0.0017,0.0018,0.0019,0.002,0.0034,0.006,0.0085,0.0107,0.0129,0.0173,0.0208
12/6/2005,0.0017,0.0018,0.0019,0.002,0.0034,0.0059,0.0083,0.0105,0.0126,0.017,0.0205
12/7/2005,0.0017,0.0018,0.0019,0.002,0.0034,0.006,0.0084,0.0105,0.0126,0.0169,0.0204
12/8/2005,0.0017,0.0018,0.0019,0.002,0.0034,0.0058,0.0081,0.0102,0.0123,0.0166,0.0201
12/9/2005,0.0017,0.0018,0.0019,0.002,0.0034,0.0061,0.0085,0.0107,0.0127,0.0172,0.0207
12/12/2005,0.0017,0.0018,0.0019,0.002,0.0034,0.0061,0.0084,0.0109,0.0132,0.0175,0.021
12/13/2005,0.0017,0.0018,0.0019,0.002,0.0034,0.0059,0.0084,0.0106,0.0129,0.0174,0.0208
12/14/2005,0.0017,0.0018,0.0019,0.002,0.0034,0.0057,0.0081,0.0103,0.0125,0.0168,0.0203
12/15/2005,0.0017,0.0018,0.0019,0.002,0.0034,0.0058,0.0081,0.0104,0.0126,0.017,0.0205
12/16/2005,0.0017,0.0018,0.0019,0.002,0.0034,0.0058,0.0082,0.0105,0.0126,0.017,0.0204
12/19/2005,0.0017,0.0018,0.0019,0.002,0.0034,0.006,0.0084,0.0107,0.0129,0.0172,0.0206
12/20/2005,0.0017,0.0018,0.0019,0.002,0.0034,0.0059,0.0083,0.0106,0.0128,0.0172,0.0206
12/21/2005,0.0017,0.0018,0.0019,0.002,0.0034,0.0062,0.0087,0.011,0.0132,0.0176,0.021
12/22/2005,0.0017,0.0018,0.0019,0.002,0.0034,0.0061,0.0087,0.011,0.0132,0.0174,0.0208
12/27/2005,0.0015,0.0015,0.0016,0.0018,0.0031,0.0062,0.0087,0.011,0.0132,0.0175,0.0209
12/28/2005,0.0015,0.0016,0.0017,0.0018,0.0032,0.0062,0.0087,0.011,0.0131,0.0172,0.0206
12/30/2005,0.0015,0.0015,0.0016,0.0018,0.0031,0.0061,0.0085,0.0107,0.0128,0.0169,0.0203
1/3/2006,0.0015,0.0015,0.0016,0.0018,0.0032,0.0063,0.0087,0.0109,0.013,0.0168,0.0203
