                G . E .   C a p i t a l   C o r p o r a t i o n                 
             - - - -   t e r m i n a t i o n   t a b l e   - - - -              

 Prepared Mar-16-2004 18:11 by ............................ your name goes here
 Yield  ( 1.700636% ) ................................................ Book ROI
 Cost (for "% of cost") ........................................   1,045,000.00

                                                                  stipulated 
                      # of     Penalty   termination    casualty        loss 
                      base       adder         value       adder       value 
           date   payments           %     % of cost   % of cost   % of cost 
                                                                             
         Sep-03          1       1.959        66.017       4.571      68.628 
         Oct-03          2       1.959        65.033       4.531      67.604 
         Nov-03          3       1.959        64.045       4.491      66.576 
         Dec-03          4       1.959        63.052       4.451      65.544 
                                                                             
         Jan-04          5       1.959        62.056       4.411      64.507 
         Feb-04          6       1.959        61.055       4.371      63.466 
         Mar-04          7       1.959        60.050       4.331      62.422 
         Apr-04          8       1.959        59.041       4.291      61.372 
         May-04          9       1.959        58.028       4.251      60.319 
         Jun-04         10       1.959        57.010       4.211      59.261 
         Jul-04         11       1.959        55.988       4.171      58.199 
         Aug-04         12       1.959        54.961       4.131      57.133 
         Sep-04         13       1.959        53.931       4.091      56.062 
         Oct-04         14       1.959        52.896       4.051      54.987 
         Nov-04         15       1.959        51.856       4.011      53.908 
         Dec-04         16       1.959        50.812       3.971      52.824 
                                                                             
         Jan-05         17       1.959        49.764       3.931      51.735 
         Feb-05         18       1.959        48.711       3.891      50.643 
         Mar-05         19       1.959        47.654       3.851      49.545 
         Apr-05         20       1.959        46.592       3.811      48.444 
         May-05         21       1.959        45.526       3.771      47.338 
         Jun-05         22       1.959        44.455       3.731      46.227 
         Jul-05         23       1.959        43.380       3.691      45.112 
         Aug-05         24       1.959        42.300       3.651      43.992 
         Sep-05         25       1.959        41.216       3.611      42.867 
         Oct-05         26       1.959        40.127       3.571      41.738 
         Nov-05         27       1.959        39.033       3.531      40.605 
         Dec-05         28       1.959        37.935       3.491      39.467 
                                                                             
         Jan-06         29       1.959        36.832       3.451      38.324 
         Feb-06         30       1.959        35.725       3.411      37.176 
         Mar-06         31       1.959        34.612       3.371      36.024 
         Apr-06         32       1.959        33.496       3.331      34.867 
         May-06         33       1.959        32.374       3.291      33.705 
         Jun-06         34       1.959        31.247       3.251      32.539 
         Jul-06         35       1.959        30.116       3.211      31.368 
         Aug-06         36       1.959        28.980       3.171      30.192 
         Sep-06         37       1.959        27.839       3.131      29.011 
         Oct-06         38       1.959        26.694       3.091      27.825 
         Nov-06         39       1.959        25.543       3.051      26.635 
         Dec-06         40       1.959        24.388       3.011      25.439 
                                                                             
         Jan-07         41       1.959        23.228       2.971      24.239 
         Feb-07         42       1.959        22.062       2.931      23.034 
         Mar-07         43       1.959        20.892       2.891      21.824 
         Apr-07         44       1.959        19.717       2.851      20.609 
         May-07         45       1.959        18.537       2.811      19.389 
         Jun-07         46       1.959        17.352       2.771      18.164 
         Jul-07         47       1.959        16.162       2.731      16.934 
         Aug-07         48       1.959        14.967       2.691      15.699 
                                                                             
     
     
SuperTRUMP 8.60 financial model      Page 1         Ivory Consulting Corporation
