                G . E .   C a p i t a l   C o r p o r a t i o n                 
             - - - -   t e r m i n a t i o n   t a b l e   - - - -              

 Prepared Mar-16-2004 18:11 by ............................ your name goes here
 Yield  ( 0.881086% ) ................................................ Book ROI
 Cost (for "% of cost") ........................................   1,000,000.00

                                                                  stipulated 
                      # of     Penalty   termination    casualty        loss 
                      base       adder         value       adder       value 
           date   payments           %     % of cost   % of cost   % of cost 
                                                                             
         Oct-03          1       1.875        63.651       4.374      66.150 
         Nov-03          2       1.875        63.184       4.355      65.664 
         Dec-03          3       1.875        62.714       4.336      65.175 
                                                                             
         Jan-04          4       1.875        62.243       4.316      64.684 
         Feb-04          5       1.875        61.770       4.297      64.192 
         Mar-04          6       1.875        61.294       4.278      63.697 
         Apr-04          7       1.875        60.817       4.258      63.201 
         May-04          8       1.875        60.338       4.239      62.702 
         Jun-04          9       1.875        59.857       4.220      62.202 
         Jul-04         10       1.875        59.374       4.200      61.699 
         Aug-04         11       1.875        58.889       4.181      61.195 
         Sep-04         12       1.875        58.401       4.162      60.688 
         Oct-04         13       1.875        57.912       4.142      60.180 
         Nov-04         14       1.875        57.421       4.123      59.669 
         Dec-04         15       1.875        56.928       4.104      59.156 
                                                                             
         Jan-05         16       1.875        56.432       4.084      58.642 
         Feb-05         17       1.875        55.935       4.065      58.125 
         Mar-05         18       1.875        55.436       4.046      57.606 
         Apr-05         19       1.875        54.934       4.026      57.085 
         May-05         20       1.875        54.430       4.007      56.562 
         Jun-05         21       1.875        53.925       3.988      56.037 
         Jul-05         22       1.875        53.417       3.968      55.510 
         Aug-05         23       1.875        52.907       3.949      54.981 
         Sep-05         24       1.875        52.395       3.930      54.450 
         Oct-05         25       1.875        51.881       3.910      53.916 
         Nov-05         26       1.875        51.364       3.891      53.381 
         Dec-05         27       1.875        50.846       3.872      52.843 
                                                                             
         Jan-06         28       1.875        50.325       3.852      52.303 
         Feb-06         29       1.875        49.803       3.833      51.761 
         Mar-06         30       1.875        49.278       3.814      51.216 
         Apr-06         31       1.875        48.751       3.794      50.670 
         May-06         32       1.875        48.221       3.775      50.121 
         Jun-06         33       1.875        47.690       3.756      49.571 
         Jul-06         34       1.875        47.156       3.736      49.017 
         Aug-06         35       1.875        46.620       3.717      48.462 
         Sep-06         36       1.875        46.082       3.698      47.905 
         Oct-06         37       1.875        45.541       3.678      47.345 
         Nov-06         38       1.875        44.999       3.659      46.783 
         Dec-06         39       1.875        44.454       3.640      46.219 
                                                                             
         Jan-07         40       1.875        43.907       3.620      45.652 
         Feb-07         41       1.875        43.357       3.601      45.084 
         Mar-07         42       1.875        42.806       3.582      44.512 
         Apr-07         43       1.875        42.252       3.563      43.939 
         May-07         44       1.875        41.695       3.543      43.363 
         Jun-07         45       1.875        41.137       3.524      42.786 
         Jul-07         46       1.875        40.576       3.505      42.205 
         Aug-07         47       1.875        40.012       3.485      41.623 
         Sep-07         48       1.875        39.447       3.466      41.038 
         Oct-07         49       1.875        38.879       3.447      40.450 
         Nov-07         50       1.875        38.309       3.427      39.861 
         Dec-07         51       1.875        37.736       3.408      39.269 
                                                                             
         Jan-08         52       1.875        37.161       3.389      38.674 
         Feb-08         53       1.875        36.583       3.369      38.077 
         Mar-08         54       1.875        36.003       3.350      37.478 
         Apr-08         55       1.875        35.421       3.331      36.877 
         May-08         56       1.875        34.836       3.311      36.273 
         Jun-08         57       1.875        34.249       3.292      35.666 
         Jul-08         58       1.875        33.660       3.273      35.057 
         Aug-08         59       1.875        33.068       3.253      34.446 
         Sep-08         60       1.875        32.473       3.234      33.832 
         Oct-08         61       1.875        31.876       3.215      33.216 
         Nov-08         62       1.875        31.277       3.195      32.597 
         Dec-08         63       1.875        30.675       3.176      31.976 
                                                                             
         Jan-09         64       1.875        30.070       3.157      31.352 
         Feb-09         65       1.875        29.464       3.137      30.726 
         Mar-09         66       1.875        28.854       3.118      30.097 
         Apr-09         67       1.875        28.242       3.099      29.466 
         May-09         68       1.875        27.628       3.079      28.832 
         Jun-09         69       1.875        27.010       3.060      28.195 
         Jul-09         70       1.875        26.391       3.041      27.556 
         Aug-09         71       1.875        25.769       3.021      26.915 
         Sep-09         72       1.875        25.144       3.002      26.271 
         Oct-09         73       1.875        24.516       2.983      25.624 
         Nov-09         74       1.875        23.886       2.963      24.975 
         Dec-09         75       1.875        23.254       2.944      24.323 
                                                                             
         Jan-10         76       1.875        22.618       2.925      23.668 
         Feb-10         77       1.875        21.981       2.905      23.011 
         Mar-10         78       1.875        21.340       2.886      22.351 
         Apr-10         79       1.875        20.697       2.867      21.688 
         May-10         80       1.875        20.051       2.847      21.023 
         Jun-10         81       1.875        19.402       2.828      20.355 
         Jul-10         82       1.875        18.751       2.809      19.685 
         Aug-10         83       1.875        18.097       2.789      19.011 
         Sep-10         84       1.875        17.440       2.770      18.335 
         Oct-10         85       1.875        16.781       2.751      17.657 
         Nov-10         86       1.875        16.119       2.731      16.975 
         Dec-10         87       1.875        15.454       2.712      16.291 
                                                                             
         Jan-11         88       1.875        14.786       2.693      15.604 
         Feb-11         89       1.875        14.116       2.673      14.914 
         Mar-11         90       1.875        13.443       2.654      14.222 
         Apr-11         91       1.875        12.767       2.635      13.526 
         May-11         92       1.875        12.088       2.615      12.828 
         Jun-11         93       1.875        11.406       2.596      12.127 
         Jul-11         94       1.875        10.721       2.577      11.423 
         Aug-11         95       1.875        10.034       2.557      10.717 
         Sep-11         96       1.875         9.344       2.538      10.007 
                                                                             
     
     
SuperTRUMP 8.60 financial model      Page 1         Ivory Consulting Corporation
