                                           A m o r t i z a t i o n   S c h e d u l e                                           
                                       w i t h   a c t u a l   d a t e   f u n d i n g s                                       

                        Prepared Mar-16-2004 18:11 by ............................ your name goes here


                      -------------------------------- p a y m e n t s ---------------------------------

                         #   timing       from          to       rate     type         amount  % of cost
                      -------------  ---------------------  ---------  -------  -------------  ---------
                                                 Jun-30-03             funding    -500,000.00 -100.00000
                        36  mon arr  Jun-30-03 ->Jun-30-06     5.5900  payment      15,118.26   3.023652
                         1 stub eql  Jun-30-06===Jun-30-06         "   balloon           0.00L  0.000000
                       

------------------------------------------------------ s c h e d u l e -------------------------------------------------------

                                                                                                          accrued
                                                                                                         interest     remaining
            payment                interest                    interest      interest     principal           not     principal
     date         #     takedowns      rate       payment       accrued          paid          paid          paid       balance

Jun-30-03              500,000.00                                                                            0.00    500,000.00
Jul-30-03         1                  5.5900     15,118.26      2,329.18      2,329.18     12,789.08          0.00    487,210.92
Aug-30-03         2                  5.5900     15,118.26      2,269.59      2,269.59     12,848.67          0.00    474,362.25
Sep-30-03         3                  5.5900     15,118.26      2,209.75      2,209.75     12,908.51          0.00    461,453.74
Oct-30-03         4                  5.5900     15,118.26      2,149.61      2,149.61     12,968.65          0.00    448,485.09
Nov-30-03         5                  5.5900     15,118.26      2,089.20      2,089.20     13,029.06          0.00    435,456.03
Dec-30-03         6                  5.5900     15,118.26      2,028.51      2,028.51     13,089.75          0.00    422,366.28
Jan-30-04         7                  5.5900     15,118.26      1,967.53      1,967.53     13,150.73          0.00    409,215.55
Feb-30-04         8                  5.5900     15,118.26      1,906.27      1,906.27     13,211.99          0.00    396,003.56
Mar-30-04         9                  5.5900     15,118.26      1,844.72      1,844.72     13,273.54          0.00    382,730.02
Apr-30-04        10                  5.5900     15,118.26      1,782.89      1,782.89     13,335.37          0.00    369,394.65
May-30-04        11                  5.5900     15,118.26      1,720.77      1,720.77     13,397.49          0.00    355,997.16
Jun-30-04        12                  5.5900     15,118.26      1,658.36      1,658.36     13,459.90          0.00    342,537.26
Jul-30-04        13                  5.5900     15,118.26      1,595.66      1,595.66     13,522.60          0.00    329,014.66
Aug-30-04        14                  5.5900     15,118.26      1,532.67      1,532.67     13,585.59          0.00    315,429.07
Sep-30-04        15                  5.5900     15,118.26      1,469.38      1,469.38     13,648.88          0.00    301,780.19
Oct-30-04        16                  5.5900     15,118.26      1,405.79      1,405.79     13,712.47          0.00    288,067.72
Nov-30-04        17                  5.5900     15,118.26      1,341.92      1,341.92     13,776.34          0.00    274,291.38
Dec-30-04        18                  5.5900     15,118.26      1,277.75      1,277.75     13,840.51          0.00    260,450.87
Jan-30-05        19                  5.5900     15,118.26      1,213.27      1,213.27     13,904.99          0.00    246,545.88
Feb-30-05        20                  5.5900     15,118.26      1,148.50      1,148.50     13,969.76          0.00    232,576.12
Mar-30-05        21                  5.5900     15,118.26      1,083.42      1,083.42     14,034.84          0.00    218,541.28
Apr-30-05        22                  5.5900     15,118.26      1,018.04      1,018.04     14,100.22          0.00    204,441.06
May-30-05        23                  5.5900     15,118.26        952.36        952.36     14,165.90          0.00    190,275.16
Jun-30-05        24                  5.5900     15,118.26        886.37        886.37     14,231.89          0.00    176,043.27
Jul-30-05        25                  5.5900     15,118.26        820.07        820.07     14,298.19          0.00    161,745.08
Aug-30-05        26                  5.5900     15,118.26        753.46        753.46     14,364.80          0.00    147,380.28
Sep-30-05        27                  5.5900     15,118.26        686.55        686.55     14,431.71          0.00    132,948.57
Oct-30-05        28                  5.5900     15,118.26        619.32        619.32     14,498.94          0.00    118,449.63
Nov-30-05        29                  5.5900     15,118.26        551.78        551.78     14,566.48          0.00    103,883.15
Dec-30-05        30                  5.5900     15,118.26        483.93        483.93     14,634.33          0.00     89,248.82
Jan-30-06        31                  5.5900     15,118.26        415.75        415.75     14,702.51          0.00     74,546.31
Feb-30-06        32                  5.5900     15,118.26        347.26        347.26     14,771.00          0.00     59,775.31
Mar-30-06        33                  5.5900     15,118.26        278.45        278.45     14,839.81          0.00     44,935.50
Apr-30-06        34                  5.5900     15,118.26        209.33        209.33     14,908.93          0.00     30,026.57
May-30-06        35                  5.5900     15,118.26        139.87        139.87     14,978.39          0.00     15,048.18
Jun-30-06        36                  5.5900     15,118.26         70.10         70.10     15,048.16          0.00          0.02
Jun-30-06        37                  5.5900          0.02          0.00          0.00          0.02          0.00          0.00

T O T A L              500,000.00              544,257.38     44,257.38     44,257.38    500,000.00
                     ============            ============  ============  ============  ============

SuperTRUMP 8.60 financial model                             Page 1                                 Ivory Consulting Corporation
