                                           A M O R T I Z A T I O N   S C H E D U L E                                            
                            - - - -   A g g r e g a t e   O f   L e n d i n g   L o a n s   - - - -                             

                         Prepared Mar-16-2004 18:11 by ............................ your name goes here
                         Aggregate average life (lending) ................................. 4.004 years
                         Rate ............................................................. 6.75000002%

                                                                                                         accrued                
                                                                                                        interest      remaining 
                                                           interest       interest      principal            not      principal 
      date   payment #      takedowns        payment        accrued           paid           paid           paid        balance 
                                                                                                                                
 Sep-15-03           0   4,662,000.00           0.00           0.00           0.00           0.00           0.00   4,662,000.00 
 Oct-01-03           0           0.00           0.00      13,986.00           0.00           0.00      13,986.00   4,662,000.00 
 Oct-15-03           1           0.00      52,963.35      12,237.75      26,223.75      26,739.60           0.00   4,635,260.40 
 Nov-01-03           1           0.00           0.00      13,905.78           0.00           0.00      13,905.78   4,635,260.40 
 Nov-15-03           2           0.00      52,963.35      12,167.56      26,073.34      26,890.01           0.00   4,608,370.39 
 Dec-01-03           2           0.00           0.00      13,825.11           0.00           0.00      13,825.11   4,608,370.39 
 Dec-15-03           3           0.00      52,963.35      12,096.97      25,922.08      27,041.27           0.00   4,581,329.12 
                        -------------  -------------  -------------  -------------  -------------                               
                         4,662,000.00     158,890.05      78,219.17      78,219.17      80,670.88                               
                                                                                                                                
 Jan-01-04           3           0.00           0.00      13,743.99           0.00           0.00      13,743.99   4,581,329.12 
 Jan-15-04           4           0.00      52,963.35      12,025.99      25,769.98      27,193.37           0.00   4,554,135.75 
 Feb-01-04           4           0.00           0.00      13,662.41           0.00           0.00      13,662.41   4,554,135.75 
 Feb-15-04           5           0.00      52,963.35      11,954.60      25,617.01      27,346.34           0.00   4,526,789.41 
 Mar-01-04           5           0.00           0.00      13,580.37           0.00           0.00      13,580.37   4,526,789.41 
 Mar-15-04           6           0.00      52,963.35      11,882.82      25,463.19      27,500.16           0.00   4,499,289.25 
 Apr-01-04           6           0.00           0.00      13,497.87           0.00           0.00      13,497.87   4,499,289.25 
 Apr-15-04           7           0.00      52,963.35      11,810.64      25,308.51      27,654.84           0.00   4,471,634.41 
 May-01-04           7           0.00           0.00      13,414.90           0.00           0.00      13,414.90   4,471,634.41 
 May-15-04           8           0.00      52,963.35      11,738.04      25,152.94      27,810.41           0.00   4,443,824.00 
 Jun-01-04           8           0.00           0.00      13,331.47           0.00           0.00      13,331.47   4,443,824.00 
 Jun-15-04           9           0.00      52,963.35      11,665.04      24,996.51      27,966.84           0.00   4,415,857.16 
 Jul-01-04           9           0.00           0.00      13,247.57           0.00           0.00      13,247.57   4,415,857.16 
 Jul-15-04          10           0.00      52,963.35      11,591.63      24,839.20      28,124.15           0.00   4,387,733.01 
 Aug-01-04          10           0.00           0.00      13,163.19           0.00           0.00      13,163.19   4,387,733.01 
 Aug-15-04          11           0.00      52,963.35      11,517.80      24,680.99      28,282.36           0.00   4,359,450.65 
 Sep-01-04          11           0.00           0.00      13,078.35           0.00           0.00      13,078.35   4,359,450.65 
 Sep-15-04          12           0.00      52,963.35      11,443.56      24,521.91      28,441.44           0.00   4,331,009.21 
 Oct-01-04          12           0.00           0.00      12,993.03           0.00           0.00      12,993.03   4,331,009.21 
