                                           A m o r t i z a t i o n   S c h e d u l e                                           
                                       w i t h   a c t u a l   d a t e   f u n d i n g s                                       

                        Prepared Mar-16-2004 18:11 by ............................ your name goes here


                      -------------------------------- p a y m e n t s ---------------------------------

                         #   timing       from          to       rate     type         amount  % of cost
                      -------------  ---------------------  ---------  -------  -------------  ---------
                                                 Sep-15-03             funding  -4,662,000.00 -100.00000
                        59  mon arr  Sep-15-03 ->Aug-15-08     6.7500  payment      52,963.35   1.136065
                         1 stub eql  Aug-15-08===Aug-15-08         "   balloon   2,797,200.00L 60.000000
                       

------------------------------------------------------ s c h e d u l e -------------------------------------------------------

                                                                                                          accrued
                                                                                                         interest     remaining
            payment                interest                    interest      interest     principal           not     principal
     date         #     takedowns      rate       payment       accrued          paid          paid          paid       balance

Sep-15-03            4,662,000.00                                                                            0.00  4,662,000.00
Oct-15-03         1                  6.7500     52,963.35     26,223.75     26,223.75     26,739.60          0.00  4,635,260.40
Nov-15-03         2                  6.7500     52,963.35     26,073.34     26,073.34     26,890.01          0.00  4,608,370.39
Dec-15-03         3                  6.7500     52,963.35     25,922.08     25,922.08     27,041.27          0.00  4,581,329.12
Jan-15-04         4                  6.7500     52,963.35     25,769.98     25,769.98     27,193.37          0.00  4,554,135.75
Feb-15-04         5                  6.7500     52,963.35     25,617.01     25,617.01     27,346.34          0.00  4,526,789.41
Mar-15-04         6                  6.7500     52,963.35     25,463.19     25,463.19     27,500.16          0.00  4,499,289.25
Apr-15-04         7                  6.7500     52,963.35     25,308.51     25,308.51     27,654.84          0.00  4,471,634.41
May-15-04         8                  6.7500     52,963.35     25,152.94     25,152.94     27,810.41          0.00  4,443,824.00
Jun-15-04         9                  6.7500     52,963.35     24,996.51     24,996.51     27,966.84          0.00  4,415,857.16
Jul-15-04        10                  6.7500     52,963.35     24,839.20     24,839.20     28,124.15          0.00  4,387,733.01
Aug-15-04        11                  6.7500     52,963.35     24,680.99     24,680.99     28,282.36          0.00  4,359,450.65
Sep-15-04        12                  6.7500     52,963.35     24,521.91     24,521.91     28,441.44          0.00  4,331,009.21
Oct-15-04        13                  6.7500     52,963.35     24,361.93     24,361.93     28,601.42          0.00  4,302,407.79
Nov-15-04        14                  6.7500     52,963.35     24,201.04     24,201.04     28,762.31          0.00  4,273,645.48
Dec-15-04        15                  6.7500     52,963.35     24,039.26     24,039.26     28,924.09          0.00  4,244,721.39
Jan-15-05        16                  6.7500     52,963.35     23,876.56     23,876.56     29,086.79          0.00  4,215,634.60
Feb-15-05        17                  6.7500     52,963.35     23,712.94     23,712.94     29,250.41          0.00  4,186,384.19
Mar-15-05        18                  6.7500     52,963.35     23,548.41     23,548.41     29,414.94          0.00  4,156,969.25
Apr-15-05        19                  6.7500     52,963.35     23,382.96     23,382.96     29,580.39          0.00  4,127,388.86
May-15-05        20                  6.7500     52,963.35     23,216.56     23,216.56     29,746.79          0.00  4,097,642.07
Jun-15-05        21                  6.7500     52,963.35     23,049.23     23,049.23     29,914.12          0.00  4,067,727.95
Jul-15-05        22                  6.7500     52,963.35     22,880.97     22,880.97     30,082.38          0.00  4,037,645.57
Aug-15-05        23                  6.7500     52,963.35     22,711.76     22,711.76     30,251.59          0.00  4,007,393.98
Sep-15-05        24                  6.7500     52,963.35     22,541.59     22,541.59     30,421.76          0.00  3,976,972.22
Oct-15-05        25                  6.7500     52,963.35     22,370.47     22,370.47     30,592.88          0.00  3,946,379.34
Nov-15-05        26                  6.7500     52,963.35     22,198.38     22,198.38     30,764.97          0.00  3,915,614.37
Dec-15-05        27                  6.7500     52,963.35     22,025.33     22,025.33     30,938.02          0.00  3,884,676.35
Jan-15-06        28                  6.7500     52,963.35     21,851.31     21,851.31     31,112.04          0.00  3,853,564.31
Feb-15-06        29                  6.7500     52,963.35     21,676.30     21,676.30     31,287.05          0.00  3,822,277.26
Mar-15-06        30                  6.7500     52,963.35     21,500.31     21,500.31     31,463.04          0.00  3,790,814.22
Apr-15-06        31                  6.7500     52,963.35     21,323.33     21,323.33     31,640.02          0.00  3,759,174.20
May-15-06        32                  6.7500     52,963.35     21,145.35     21,145.35     31,818.00          0.00  3,727,356.20
Jun-15-06        33                  6.7500     52,963.35     20,966.38     20,966.38     31,996.97          0.00  3,695,359.23
Jul-15-06        34                  6.7500     52,963.35     20,786.40     20,786.40     32,176.95          0.00  3,663,182.28
Aug-15-06        35                  6.7500     52,963.35     20,605.40     20,605.40     32,357.95          0.00  3,630,824.33
Sep-15-06        36                  6.7500     52,963.35     20,423.38     20,423.38     32,539.97          0.00  3,598,284.36
Oct-15-06        37                  6.7500     52,963.35     20,240.35     20,240.35     32,723.00          0.00  3,565,561.36
Nov-15-06        38                  6.7500     52,963.35     20,056.28     20,056.28     32,907.07          0.00  3,532,654.29
Dec-15-06        39                  6.7500     52,963.35     19,871.18     19,871.18     33,092.17          0.00  3,499,562.12
Jan-15-07        40                  6.7500     52,963.35     19,685.04     19,685.04     33,278.31          0.00  3,466,283.81
Feb-15-07        41                  6.7500     52,963.35     19,497.85     19,497.85     33,465.50          0.00  3,432,818.31
Mar-15-07        42                  6.7500     52,963.35     19,309.60     19,309.60     33,653.75          0.00  3,399,164.56
Apr-15-07        43                  6.7500     52,963.35     19,120.30     19,120.30     33,843.05          0.00  3,365,321.51
May-15-07        44                  6.7500     52,963.35     18,929.93     18,929.93     34,033.42          0.00  3,331,288.09
Jun-15-07        45                  6.7500     52,963.35     18,738.50     18,738.50     34,224.85          0.00  3,297,063.24
Jul-15-07        46                  6.7500     52,963.35     18,545.98     18,545.98     34,417.37          0.00  3,262,645.87
Aug-15-07        47                  6.7500     52,963.35     18,352.38     18,352.38     34,610.97          0.00  3,228,034.90
Sep-15-07        48                  6.7500     52,963.35     18,157.70     18,157.70     34,805.65          0.00  3,193,229.25
Oct-15-07        49                  6.7500     52,963.35     17,961.91     17,961.91     35,001.44          0.00  3,158,227.81
Nov-15-07        50                  6.7500     52,963.35     17,765.03     17,765.03     35,198.32          0.00  3,123,029.49
Dec-15-07        51                  6.7500     52,963.35     17,567.04     17,567.04     35,396.31          0.00  3,087,633.18
Jan-15-08        52                  6.7500     52,963.35     17,367.94     17,367.94     35,595.41          0.00  3,052,037.77
Feb-15-08        53                  6.7500     52,963.35     17,167.71     17,167.71     35,795.64          0.00  3,016,242.13
Mar-15-08        54                  6.7500     52,963.35     16,966.36     16,966.36     35,996.99          0.00  2,980,245.14
Apr-15-08        55                  6.7500     52,963.35     16,763.88     16,763.88     36,199.47          0.00  2,944,045.67
May-15-08        56                  6.7500     52,963.35     16,560.26     16,560.26     36,403.09          0.00  2,907,642.58
Jun-15-08        57                  6.7500     52,963.35     16,355.49     16,355.49     36,607.86          0.00  2,871,034.72
Jul-15-08        58                  6.7500     52,963.35     16,149.57     16,149.57     36,813.78          0.00  2,834,220.94
Aug-15-08        59                  6.7500     52,963.35     15,942.49     15,942.49     37,020.86          0.00  2,797,200.08
Aug-15-08        60                  6.7500  2,797,200.08          0.00          0.00  2,797,200.08          0.00          0.00

T O T A L            4,662,000.00            5,922,037.73  1,260,037.73  1,260,037.73  4,662,000.00
                     ============            ============  ============  ============  ============

SuperTRUMP 8.60 financial model                             Page 1                                 Ivory Consulting Corporation
