                                           A m o r t i z a t i o n   S c h e d u l e                                           
                                       w i t h   a c t u a l   d a t e   f u n d i n g s                                       

                        Prepared Mar-16-2004 18:11 by ............................ your name goes here


                      -------------------------------- p a y m e n t s ---------------------------------

                         #   timing       from          to       rate     type         amount  % of cost
                      -------------  ---------------------  ---------  -------  -------------  ---------
                                                 Jun-30-03             funding    -500,000.00 -100.00000
                        48  mon arr  Jun-30-03 ->Jun-30-07     5.9393  payment      11,728.60   2.345720
                         1 stub eql  Jun-30-07===Jun-30-07         "   balloon           0.00L  0.000000
                       

------------------------------------------------------ s c h e d u l e -------------------------------------------------------

                                                                                                          accrued
                                                                                                         interest     remaining
            payment                interest                    interest      interest     principal           not     principal
     date         #     takedowns      rate       payment       accrued          paid          paid          paid       balance

Jun-30-03              500,000.00                                                                            0.00    500,000.00
Jul-30-03         1                  5.9393     11,728.60      2,474.70      2,474.70      9,253.90          0.00    490,746.10
Aug-30-03         2                  5.9393     11,728.60      2,428.90      2,428.90      9,299.70          0.00    481,446.40
Sep-30-03         3                  5.9393     11,728.60      2,382.88      2,382.88      9,345.72          0.00    472,100.68
Oct-30-03         4                  5.9393     11,728.60      2,336.61      2,336.61      9,391.99          0.00    462,708.69
Nov-30-03         5                  5.9393     11,728.60      2,290.13      2,290.13      9,438.47          0.00    453,270.22
Dec-30-03         6                  5.9393     11,728.60      2,243.42      2,243.42      9,485.18          0.00    443,785.04
Jan-30-04         7                  5.9393     11,728.60      2,196.47      2,196.47      9,532.13          0.00    434,252.91
Feb-30-04         8                  5.9393     11,728.60      2,149.30      2,149.30      9,579.30          0.00    424,673.61
Mar-30-04         9                  5.9393     11,728.60      2,101.88      2,101.88      9,626.72          0.00    415,046.89
Apr-30-04        10                  5.9393     11,728.60      2,054.23      2,054.23      9,674.37          0.00    405,372.52
May-30-04        11                  5.9393     11,728.60      2,006.35      2,006.35      9,722.25          0.00    395,650.27
Jun-30-04        12                  5.9393     11,728.60      1,958.24      1,958.24      9,770.36          0.00    385,879.91
Jul-30-04        13                  5.9393     11,728.60      1,909.87      1,909.87      9,818.73          0.00    376,061.18
