                                           A m o r t i z a t i o n   S c h e d u l e                                           
                                       w i t h   a c t u a l   d a t e   f u n d i n g s                                       

                        Prepared Mar-16-2004 18:11 by ............................ your name goes here


                      -------------------------------- p a y m e n t s ---------------------------------

                         #   timing       from          to       rate     type         amount  % of cost
                      -------------  ---------------------  ---------  -------  -------------  ---------
                                                 Oct-01-03             funding    -415,002.00 -100.00000
                        27  mon arr  Oct-01-03 ->Jan-01-06     6.9100  payment      16,640.38   4.009710
                         1 stub eql  Jan-01-06===Jan-01-06         "   balloon           0.00L  0.000000
                       

------------------------------------------------------ s c h e d u l e -------------------------------------------------------

                                                                                                          accrued
                                                                                                         interest     remaining
            payment                interest                    interest      interest     principal           not     principal
     date         #     takedowns      rate       payment       accrued          paid          paid          paid       balance

Oct-01-03              415,002.00                                                                            0.00    415,002.00
Nov-01-03         1                  6.9100     16,640.38      2,389.72      2,389.72     14,250.66          0.00    400,751.34
Dec-01-03         2                  6.9100     16,640.38      2,307.66      2,307.66     14,332.72          0.00    386,418.62
Jan-01-04         3                  6.9100     16,640.38      2,225.13      2,225.13     14,415.25          0.00    372,003.37
Feb-01-04         4                  6.9100     16,640.38      2,142.12      2,142.12     14,498.26          0.00    357,505.11
Mar-01-04         5                  6.9100     16,640.38      2,058.63      2,058.63     14,581.75          0.00    342,923.36
Apr-01-04         6                  6.9100     16,640.38      1,974.67      1,974.67     14,665.71          0.00    328,257.65
May-01-04         7                  6.9100     16,640.38      1,890.21      1,890.21     14,750.17          0.00    313,507.48
Jun-01-04         8                  6.9100     16,640.38      1,805.28      1,805.28     14,835.10          0.00    298,672.38
Jul-01-04         9                  6.9100     16,640.38      1,719.86      1,719.86     14,920.52          0.00    283,751.86
Aug-01-04        10                  6.9100     16,640.38      1,633.94      1,633.94     15,006.44          0.00    268,745.42
Sep-01-04        11                  6.9100     16,640.38      1,547.52      1,547.52     15,092.86          0.00    253,652.56
Oct-01-04        12                  6.9100     16,640.38      1,460.62      1,460.62     15,179.76          0.00    238,472.80
Nov-01-04        13                  6.9100     16,640.38      1,373.21      1,373.21     15,267.17          0.00    223,205.63
Dec-01-04        14                  6.9100     16,640.38      1,285.29      1,285.29     15,355.09          0.00    207,850.54
Jan-01-05        15                  6.9100     16,640.38      1,196.87      1,196.87     15,443.51          0.00    192,407.03
Feb-01-05        16                  6.9100     16,640.38      1,107.95      1,107.95     15,532.43          0.00    176,874.60
Mar-01-05        17                  6.9100     16,640.38      1,018.50      1,018.50     15,621.88          0.00    161,252.72
Apr-01-05        18                  6.9100     16,640.38        928.55        928.55     15,711.83          0.00    145,540.89
May-01-05        19                  6.9100     16,640.38        838.07        838.07     15,802.31          0.00    129,738.58
Jun-01-05        20                  6.9100     16,640.38        747.08        747.08     15,893.30          0.00    113,845.28
Jul-01-05        21                  6.9100     16,640.38        655.56        655.56     15,984.82          0.00     97,860.46
Aug-01-05        22                  6.9100     16,640.38        563.51        563.51     16,076.87          0.00     81,783.59
Sep-01-05        23                  6.9100     16,640.38        470.94        470.94     16,169.44          0.00     65,614.15
Oct-01-05        24                  6.9100     16,640.38        377.83        377.83     16,262.55          0.00     49,351.60
Nov-01-05        25                  6.9100     16,640.38        284.18        284.18     16,356.20          0.00     32,995.40
Dec-01-05        26                  6.9100     16,640.38        190.00        190.00     16,450.38          0.00     16,545.02
Jan-01-06        27                  6.9100     16,640.38         95.27         95.27     16,545.11          0.00         -0.09
Jan-01-06        28                  6.9100         -0.09          0.00          0.00         -0.09          0.00          0.00

T O T A L              415,002.00              449,290.17     34,288.17     34,288.17    415,002.00
                     ============            ============  ============  ============  ============

SuperTRUMP 8.60 financial model                             Page 1                                 Ivory Consulting Corporation
