                                           A M O R T I Z A T I O N   S C H E D U L E                                            
                            - - - -   A g g r e g a t e   O f   L e n d i n g   L o a n s   - - - -                             

                         Prepared Mar-16-2004 18:11 by ............................ your name goes here
                         Aggregate average life (lending) ................................. 5.380 years
                         Rate ............................................................. 4.07999996%

                                                                                                         accrued                
                                                                                                        interest      remaining 
                                                           interest       interest      principal            not      principal 
      date   payment #      takedowns        payment        accrued           paid           paid           paid        balance 
                                                                                                                                
 Aug-28-03           0   5,000,000.00           0.00           0.00           0.00           0.00           0.00   5,000,000.00 
 Sep-01-03           0           0.00           0.00       1,700.00           0.00           0.00       1,700.00   5,000,000.00 
 Sep-28-03           1           0.00      50,812.89      15,300.00      17,000.00      33,812.89           0.00   4,966,187.11 
 Oct-01-03           1           0.00           0.00       1,688.50           0.00           0.00       1,688.50   4,966,187.11 
 Oct-28-03           2           0.00      50,812.89      15,196.54      16,885.04      33,927.85           0.00   4,932,259.26 
 Nov-01-03           2           0.00           0.00       1,676.97           0.00           0.00       1,676.97   4,932,259.26 
 Nov-28-03           3           0.00      50,812.89      15,092.71      16,769.68      34,043.21           0.00   4,898,216.05 
 Dec-01-03           3           0.00           0.00       1,665.39           0.00           0.00       1,665.39   4,898,216.05 
 Dec-28-03           4           0.00      50,812.89      14,988.54      16,653.93      34,158.96           0.00   4,864,057.09 
                        -------------  -------------  -------------  -------------  -------------                               
                         5,000,000.00     203,251.56      67,308.65      67,308.65     135,942.91                               
                                                                                                                                
 Jan-01-04           4           0.00           0.00       1,653.78           0.00           0.00       1,653.78   4,864,057.09 
 Jan-28-04           5           0.00      50,812.89      14,884.02      16,537.80      34,275.09           0.00   4,829,782.00 
 Feb-01-04           5           0.00           0.00       1,642.13           0.00           0.00       1,642.12   4,829,782.00 
 Feb-28-04           6           0.00      50,812.89      14,779.13      16,421.25      34,391.64           0.00   4,795,390.36 
 Mar-01-04           6           0.00           0.00       1,630.43           0.00           0.00       1,630.43   4,795,390.36 
 Mar-28-04           7           0.00      50,812.89      14,673.90      16,304.33      34,508.56           0.00   4,760,881.80 
 Apr-01-04           7           0.00           0.00       1,618.70           0.00           0.00       1,618.70   4,760,881.80 
 Apr-28-04           8           0.00      50,812.89      14,568.30      16,187.00      34,625.89           0.00   4,726,255.91 
