                                           A m o r t i z a t i o n   S c h e d u l e                                           
                                       w i t h   a c t u a l   d a t e   f u n d i n g s                                       

                        Prepared Mar-16-2004 18:11 by ............................ your name goes here


                      -------------------------------- p a y m e n t s ---------------------------------

                         #   timing       from          to       rate     type         amount  % of cost
                      -------------  ---------------------  ---------  -------  -------------  ---------
                                                 Aug-28-03             funding  -5,000,000.00 -100.00000
                       120  mon arr  Aug-28-03 ->Aug-28-13     4.0800  payment      50,812.89L  1.016258
                         1 stub eql  Aug-28-13===Aug-28-13         "   balloon           0.00L  0.000000
                       

------------------------------------------------------ s c h e d u l e -------------------------------------------------------

                                                                                                          accrued
                                                                                                         interest     remaining
            payment                interest                    interest      interest     principal           not     principal
     date         #     takedowns      rate       payment       accrued          paid          paid          paid       balance

Aug-28-03            5,000,000.00                                                                            0.00  5,000,000.00
Sep-28-03         1                  4.0800     50,812.89     17,000.00     17,000.00     33,812.89          0.00  4,966,187.11
Oct-28-03         2                  4.0800     50,812.89     16,885.04     16,885.04     33,927.85          0.00  4,932,259.26
Nov-28-03         3                  4.0800     50,812.89     16,769.68     16,769.68     34,043.21          0.00  4,898,216.05
Dec-28-03         4                  4.0800     50,812.89     16,653.93     16,653.93     34,158.96          0.00  4,864,057.09
Jan-28-04         5                  4.0800     50,812.89     16,537.80     16,537.80     34,275.09          0.00  4,829,782.00
Feb-28-04         6                  4.0800     50,812.89     16,421.25     16,421.25     34,391.64          0.00  4,795,390.36
Mar-28-04         7                  4.0800     50,812.89     16,304.33     16,304.33     34,508.56          0.00  4,760,881.80
Apr-28-04         8                  4.0800     50,812.89     16,187.00     16,187.00     34,625.89          0.00  4,726,255.91
May-28-04         9                  4.0800     50,812.89     16,069.27     16,069.27     34,743.62          0.00  4,691,512.29
Jun-28-04        10                  4.0800     50,812.89     15,951.14     15,951.14     34,861.75          0.00  4,656,650.54
Jul-28-04        11                  4.0800     50,812.89     15,832.61     15,832.61     34,980.28          0.00  4,621,670.26
Aug-28-04        12                  4.0800     50,812.89     15,713.68     15,713.68     35,099.21          0.00  4,586,571.05
Sep-28-04        13                  4.0800     50,812.89     15,594.34     15,594.34     35,218.55          0.00  4,551,352.50
Oct-28-04        14                  4.0800     50,812.89     15,474.60     15,474.60     35,338.29          0.00  4,516,014.21
Nov-28-04        15                  4.0800     50,812.89     15,354.45     15,354.45     35,458.44          0.00  4,480,555.77
Dec-28-04        16                  4.0800     50,812.89     15,233.89     15,233.89     35,579.00          0.00  4,444,976.77
Jan-28-05        17                  4.0800     50,812.89     15,112.92     15,112.92     35,699.97          0.00  4,409,276.80
Feb-28-05        18                  4.0800     50,812.89     14,991.54     14,991.54     35,821.35          0.00  4,373,455.45
Mar-28-05        19                  4.0800     50,812.89     14,869.75     14,869.75     35,943.14          0.00  4,337,512.31
Apr-28-05        20                  4.0800     50,812.89     14,747.54     14,747.54     36,065.35          0.00  4,301,446.96
May-28-05        21                  4.0800     50,812.89     14,624.92     14,624.92     36,187.97          0.00  4,265,258.99
Jun-28-05        22                  4.0800     50,812.89     14,501.88     14,501.88     36,311.01          0.00  4,228,947.98
