                                           A m o r t i z a t i o n   S c h e d u l e                                           
                                       w i t h   a c t u a l   d a t e   f u n d i n g s                                       

                        Prepared Mar-16-2004 18:11 by ............................ your name goes here


                      -------------------------------- p a y m e n t s ---------------------------------

                         #   timing       from          to       rate     type         amount  % of cost
                      -------------  ---------------------  ---------  -------  -------------  ---------
                                                 Sep-15-03             funding    -750,000.00 -100.00000
                        48  mon arr  Sep-15-03 ->Sep-15-07     4.0500  payment      16,951.08   2.260144
                       

------------------------------------------------------ s c h e d u l e -------------------------------------------------------

                                                                                                          accrued
                                                                                                         interest     remaining
            payment                interest                    interest      interest     principal           not     principal
     date         #     takedowns      rate       payment       accrued          paid          paid          paid       balance

Sep-15-03              750,000.00                                                                            0.00    750,000.00
Oct-15-03         1                  4.0500     16,951.08      2,531.25      2,531.25     14,419.83          0.00    735,580.17
Nov-15-03         2                  4.0500     16,951.08      2,482.58      2,482.58     14,468.50          0.00    721,111.67
Dec-15-03         3                  4.0500     16,951.08      2,433.76      2,433.76     14,517.32          0.00    706,594.35
Jan-15-04         4                  4.0500     16,951.08      2,384.75      2,384.75     14,566.33          0.00    692,028.02
Feb-15-04         5                  4.0500     16,951.08      2,335.60      2,335.60     14,615.48          0.00    677,412.54
Mar-15-04         6                  4.0500     16,951.08      2,286.26      2,286.26     14,664.82          0.00    662,747.72
Apr-15-04         7                  4.0500     16,951.08      2,236.78      2,236.78     14,714.30          0.00    648,033.42
May-15-04         8                  4.0500     16,951.08      2,187.11      2,187.11     14,763.97          0.00    633,269.45
Jun-15-04         9                  4.0500     16,951.08      2,137.28      2,137.28     14,813.80          0.00    618,455.65
Jul-15-04        10                  4.0500     16,951.08      2,087.29      2,087.29     14,863.79          0.00    603,591.86
Aug-15-04        11                  4.0500     16,951.08      2,037.12      2,037.12     14,913.96          0.00    588,677.90
Sep-15-04        12                  4.0500     16,951.08      1,986.79      1,986.79     14,964.29          0.00    573,713.61
Oct-15-04        13                  4.0500     16,951.08      1,936.29      1,936.29     15,014.79          0.00    558,698.82
Nov-15-04        14                  4.0500     16,951.08      1,885.60      1,885.60     15,065.48          0.00    543,633.34
Dec-15-04        15                  4.0500     16,951.08      1,834.77      1,834.77     15,116.31          0.00    528,517.03
Jan-15-05        16                  4.0500     16,951.08      1,783.74      1,783.74     15,167.34          0.00    513,349.69
Feb-15-05        17                  4.0500     16,951.08      1,732.56      1,732.56     15,218.52          0.00    498,131.17
Mar-15-05        18                  4.0500     16,951.08      1,681.19      1,681.19     15,269.89          0.00    482,861.28
Apr-15-05        19                  4.0500     16,951.08      1,629.66      1,629.66     15,321.42          0.00    467,539.86
May-15-05        20                  4.0500     16,951.08      1,577.95      1,577.95     15,373.13          0.00    452,166.73
Jun-15-05        21                  4.0500     16,951.08      1,526.06      1,526.06     15,425.02          0.00    436,741.71
Jul-15-05        22                  4.0500     16,951.08      1,474.00      1,474.00     15,477.08          0.00    421,264.63
Aug-15-05        23                  4.0500     16,951.08      1,421.77      1,421.77     15,529.31          0.00    405,735.32
Sep-15-05        24                  4.0500     16,951.08      1,369.36      1,369.36     15,581.72          0.00    390,153.60
Oct-15-05        25                  4.0500     16,951.08      1,316.77      1,316.77     15,634.31          0.00    374,519.29
Nov-15-05        26                  4.0500     16,951.08      1,264.00      1,264.00     15,687.08          0.00    358,832.21
Dec-15-05        27                  4.0500     16,951.08      1,211.06      1,211.06     15,740.02          0.00    343,092.19
Jan-15-06        28                  4.0500     16,951.08      1,157.93      1,157.93     15,793.15          0.00    327,299.04
Feb-15-06        29                  4.0500     16,951.08      1,104.64      1,104.64     15,846.44          0.00    311,452.60
Mar-15-06        30                  4.0500     16,951.08      1,051.15      1,051.15     15,899.93          0.00    295,552.67
Apr-15-06        31                  4.0500     16,951.08        997.49        997.49     15,953.59          0.00    279,599.08
May-15-06        32                  4.0500     16,951.08        943.65        943.65     16,007.43          0.00    263,591.65
Jun-15-06        33                  4.0500     16,951.08        889.62        889.62     16,061.46          0.00    247,530.19
Jul-15-06        34                  4.0500     16,951.08        835.42        835.42     16,115.66          0.00    231,414.53
Aug-15-06        35                  4.0500     16,951.08        781.02        781.02     16,170.06          0.00    215,244.47
Sep-15-06        36                  4.0500     16,951.08        726.45        726.45     16,224.63          0.00    199,019.84
Oct-15-06        37                  4.0500     16,951.08        671.69        671.69     16,279.39          0.00    182,740.45
Nov-15-06        38                  4.0500     16,951.08        616.75        616.75     16,334.33          0.00    166,406.12
Dec-15-06        39                  4.0500     16,951.08        561.62        561.62     16,389.46          0.00    150,016.66
Jan-15-07        40                  4.0500     16,951.08        506.31        506.31     16,444.77          0.00    133,571.89
Feb-15-07        41                  4.0500     16,951.08        450.81        450.81     16,500.27          0.00    117,071.62
Mar-15-07        42                  4.0500     16,951.08        395.11        395.11     16,555.97          0.00    100,515.65
Apr-15-07        43                  4.0500     16,951.08        339.24        339.24     16,611.84          0.00     83,903.81
May-15-07        44                  4.0500     16,951.08        283.18        283.18     16,667.90          0.00     67,235.91
Jun-15-07        45                  4.0500     16,951.08        226.92        226.92     16,724.16          0.00     50,511.75
Jul-15-07        46                  4.0500     16,951.08        170.48        170.48     16,780.60          0.00     33,731.15
Aug-15-07        47                  4.0500     16,951.08        113.84        113.84     16,837.24          0.00     16,893.91
Sep-15-07        48                  4.0500     16,950.93         57.02         57.02     16,893.91          0.00          0.00

T O T A L              750,000.00              813,651.69     63,651.69     63,651.69    750,000.00
                     ============            ============  ============  ============  ============

SuperTRUMP 8.60 financial model                             Page 1                                 Ivory Consulting Corporation
