                G . E .   C a p i t a l   C o r p o r a t i o n                 
             - - - -   t e r m i n a t i o n   t a b l e   - - - -              

 Prepared Mar-16-2004 18:11 by ............................ your name goes here
 Yield  ( 0.994575% ) ................................................ Book ROI
 Cost (for "% of cost") ........................................   1,000,000.00

                                                                  stipulated 
                      # of     Penalty   termination    casualty        loss 
                      base       adder         value       adder       value 
           date   payments           %     % of cost   % of cost   % of cost 
                                                                             
         Sep-03          1       1.875        63.380       1.875      63.380 
         Oct-03          2       1.875        62.556       1.875      62.556 
         Nov-03          3       1.875        61.730       1.875      61.730 
         Dec-03          4       1.875        60.902       1.875      60.902 
                                                                             
         Jan-04          5       1.875        60.072       1.875      60.072 
         Feb-04          6       1.875        59.239       1.875      59.239 
         Mar-04          7       1.875        58.404       1.875      58.404 
         Apr-04          8       1.875        57.566       1.875      57.566 
         May-04          9       1.875        56.726       1.875      56.726 
         Jun-04         10       1.875        55.884       1.875      55.884 
         Jul-04         11       1.875        55.040       1.875      55.040 
         Aug-04         12       1.875        54.193       1.875      54.193 
         Sep-04         13       1.875        53.344       1.875      53.344 
         Oct-04         14       1.875        52.492       1.875      52.492 
         Nov-04         15       1.875        51.638       1.875      51.638 
         Dec-04         16       1.875        50.782       1.875      50.782 
                                                                             
         Jan-05         17       1.875        49.923       1.875      49.923 
         Feb-05         18       1.875        49.062       1.875      49.062 
         Mar-05         19       1.875        48.198       1.875      48.198 
         Apr-05         20       1.875        47.333       1.875      47.333 
         May-05         21       1.875        46.464       1.875      46.464 
         Jun-05         22       1.875        45.593       1.875      45.593 
         Jul-05         23       1.875        44.720       1.875      44.720 
         Aug-05         24       1.875        43.845       1.875      43.845 
         Sep-05         25       1.875        42.966       1.875      42.966 
         Oct-05         26       1.875        42.086       1.875      42.086 
         Nov-05         27       1.875        41.203       1.875      41.203 
         Dec-05         28       1.875        40.317       1.875      40.317 
                                                                             
         Jan-06         29       1.875        39.429       1.875      39.429 
         Feb-06         30       1.875        38.539       1.875      38.539 
         Mar-06         31       1.875        37.646       1.875      37.646 
         Apr-06         32       1.875        36.751       1.875      36.751 
         May-06         33       1.875        35.853       1.875      35.853 
         Jun-06         34       1.875        34.952       1.875      34.952 
         Jul-06         35       1.875        34.050       1.875      34.050 
         Aug-06         36       1.875        33.144       1.875      33.144 
         Sep-06         37       1.875        32.236       1.875      32.236 
         Oct-06         38       1.875        31.326       1.875      31.326 
         Nov-06         39       1.875        30.413       1.875      30.413 
         Dec-06         40       1.875        29.497       1.875      29.497 
                                                                             
         Jan-07         41       1.875        28.579       1.875      28.579 
         Feb-07         42       1.875        27.658       1.875      27.658 
         Mar-07         43       1.875        26.735       1.875      26.735 
         Apr-07         44       1.875        25.809       1.875      25.809 
         May-07         45       1.875        24.881       1.875      24.881 
         Jun-07         46       1.875        23.950       1.875      23.950 
         Jul-07         47       1.875        23.016       1.875      23.016 
         Aug-07         48       1.875        22.080       1.875      22.080 
         Sep-07         49       1.875        21.141       1.875      21.141 
         Oct-07         50       1.875        20.200       1.875      20.200 
         Nov-07         51       1.875        19.255       1.875      19.255 
         Dec-07         52       1.875        18.309       1.875      18.309 
                                                                             
         Jan-08         53       1.875        17.359       1.875      17.359 
         Feb-08         54       1.875        16.407       1.875      16.407 
         Mar-08         55       1.875        15.453       1.875      15.453 
         Apr-08         56       1.875        14.495       1.875      14.495 
         May-08         57       1.875        13.535       1.875      13.535 
         Jun-08         58       1.875        12.573       1.875      12.573 
         Jul-08         59       1.875        11.607       1.875      11.607 
         Aug-08         60       1.875        10.639       1.875      10.639 
                                                                             
     
     
SuperTRUMP 8.60 financial model      Page 1         Ivory Consulting Corporation
