ID	Account_Schedule_Nbr	IDMS_Region	Commencement_Date	Purchase_Date	First_Due	Term	Frequency	Adv/Arr	Interim_rent	Income_Type_Fees	Expense_Type_Fees	Guaranteed_Residual	Booking_Date	Product	Tax_Class	FASB_Class	Security_Deposit_amount	Funding_Date	Location	Yield	Residual_Insurance_Premium_Pct	Book_Yield	
1	2151768037	PA	11/21/2009	11/21/2009	12/20/2009	12	M	ARR		0.00	0.00	0.00	9/24/2010	ELTOOL	N/A	N/A	0.00		GENICV	13.06 %	1.20	13.06	
2	3235255007	PB	9/15/2010	09/15/2010	10/14/2010	39	M	ARR		0.00	135.52	0.00	9/17/2010	SGLINV	N/A	N/A	0.00	09/15/2010	TSHIB2	9.24 %	1.20	9.24	
3	4065101296	PA	9/1/2010	09/01/2010	9/1/2010	42	M	ADV		0.00	340.55	1439.21	9/10/2010	SGLINV	N/A	N/A	0.00	09/10/2010	ACCGRH	6.91 %	1.20	6.91	
4	4185458547	PA	9/1/2010	09/01/2010	9/1/2010	35	M	ADV		0.00	343.89	0.00	9/10/2010	OPERLS	N/A	N/A	0.00	09/10/2010	ACCGRH	6.01 %	1.20	6.01	
5	4185458567	PA	9/1/2010	09/01/2010	9/1/2010	35	M	ADV		0.00	2242.15	0.00	9/10/2010	OPERLS	N/A	N/A	0.00	09/10/2010	ACCGRH	6.12 %	1.20	6.12	
6	4187313004	PA	8/2/2010	09/01/2010	9/1/2010	52	M	ADV		0.00	874.28	0.00	9/10/2010	MENQSI	N/A	N/A	0.00	09/08/2010	TORO	6.29 %	1.20	6.05	
7	4289638008	PA	8/30/2010	08/30/2010	10/1/2010	36	M	ARR		0.00	28.45	0.00	9/1/2010	SGLINV	N/A	N/A	0.00	08/30/2010	APPCAL	20.13 %	1.20	20.13	
8	4298418005	PA	9/1/2010	09/01/2010	9/1/2010	48	M	ADV		0.00	2785.66	0.00	9/23/2010	SGLINV	N/A	N/A	0.00	09/22/2010	TORO	7.39 %	1.20	7.39	
9	4299627006	PA	8/30/2010	08/30/2010	9/1/2010	36	M	ADV		0.00	65.75	0.00	9/1/2010	SGLINV	N/A	N/A	0.00		APPCAL	21.22 %	1.20	21.22	
10	4325926003	PA	8/30/2010	08/30/2010	10/1/2010	36	M	ARR		0.00	0.00	0.00	9/15/2010	MENQSI	N/A	N/A	0.00	09/14/2010	YALE	6.66 %	1.20	6.66	
11	4360765002	PA	10/1/2010	09/03/2010	11/1/2010	60	M	ARR		834.97	269.34	0.00	9/23/2010	SGLINV	N/A	N/A	0.00	09/23/2010	YALE	8.77 %	1.20	8.77	
12	4429937558	PA	6/1/2010	05/12/2010	7/1/2010	60	M	ARR		0.00	36.61	0.00	5/26/2010	SGLINV	N/A	N/A	0.00	05/26/2010	YALE	8.41 %	1.20	8.41	
13	5426275002	PA	10/16/2010	09/16/2010	10/16/2010	24	M	ARR		1634.55	0.00	0.00	9/17/2010	MEREG	N/A	N/A	0.00	09/16/2010	CTBOBB	8.72 %	1.20	8.57	
14	5427515002	PA	8/26/2010	08/26/2010	10/7/2010	24	M	ARR		664.63	0.00	0.00	9/9/2010	MEREG	N/A	N/A	0.00		CTBOBN	9.99 %	1.20	8.72	
