#ACCOUNT_SCHEDULE_NBR,IDMS_REGION,COMMENCEMENT_DATE,PURCHASE_DATE,FIRST_DUE,TERM,FREQUENCY,ADV_ARR,INTERIM_RENT,INCOME_TYPE_FEES,EXPENSE_TYPE_FEES,GUARANTEED_RESIDUAL,BOOKING_DATE,PRODUCT,TAX_CLASS,FASB_CLASS,SECURITY_DEPOSIT_AMT,FUNDING_DATE,LOCATION,YIELD,ADVANCED_RENT,RESIDUAL_INSURANCE_PRE_PCT,BOOK_YIELD
8405362002,PA,01/13/2011 00:00:00,01/11/2011 00:00:00,02/12/2011,72,M,ARR,,-3219.64,0.00,0.00,01/13/2011 00:00:00,MEREG,N/A,N/A,0.0000000,01/12/2011 00:00:00,CTBOBB,9.0500000,0.00,1.2000,9.0500000
8487952001,PA,01/14/2011 00:00:00,01/08/2011 00:00:00,02/13/2011,42,M,ARR,,0.00,0.00,0.00,01/14/2011 00:00:00,MEREG,N/A,N/A,0.0000000,01/13/2011 00:00:00,CTBOBN,8.8800000,0.00,1.2000,8.8800000
7163603003,PB,01/10/2011 00:00:00,01/10/2011 00:00:00,02/10/2011,60,M,ARR,,-75.00,0.00,0.00,01/12/2011 00:00:00,SGLINV,N/A,N/A,0.0000000,01/10/2011 00:00:00,TRAD,12.2600000,0.00,1.2000,12.2600000
7610454074,PB,01/11/2011 00:00:00,01/11/2011 00:00:00,02/01/2011,36,M,ARR,,0.00,268.81,0.00,01/12/2011 00:00:00,SGLINV,N/A,N/A,0.0000000,01/11/2011 00:00:00,KMPNAP,8.2900000,0.00,1.2000,8.2900000
8487308001,PA,01/12/2011 00:00:00,01/11/2011 00:00:00,02/11/2011,48,M,ARR,,-417.05,0.00,0.00,01/12/2011 00:00:00,MEREG,N/A,N/A,0.0000000,01/11/2011 00:00:00,CTBOBB,8.4600000,0.00,1.2000,8.4600000
6944702003,PB,01/25/2011 00:00:00,01/07/2011 00:00:00,01/25/2011,64,M,ARR,,0.00,22.24,0.00,01/13/2011 00:00:00,SGLINV,N/A,N/A,0.0000000,01/12/2011 00:00:00,TSHIB2,9.3600000,0.00,1.2000,9.3600000
8477880001,PA,01/15/2011 00:00:00,01/15/2011 00:00:00,01/15/2011,36,M,ADV,,0.00,668.24,0.00,01/13/2011 00:00:00,MENQSI,N/A,N/A,0.0000000,01/12/2011 00:00:00,CSTECH,8.5900000,1418.76,1.2000,8.5900000
5432888002,PA,01/14/2011 00:00:00,01/11/2011 00:00:00,02/13/2011,36,M,ARR,,-326.72,0.00,0.00,01/14/2011 00:00:00,MEREG,N/A,N/A,0.0000000,01/13/2011 00:00:00,CTBOBB,8.7900000,0.00,1.2000,8.7900000
8487887001,PA,01/13/2011 00:00:00,12/31/2010 00:00:00,02/12/2011,42,M,ARR,,-318.82,0.00,0.00,01/13/2011 00:00:00,MEREG,N/A,N/A,0.0000000,01/12/2011 00:00:00,CTBOBB,8.6700000,0.00,1.2000,8.6700000
7713207001,PB,01/27/2011 00:00:00,01/07/2011 00:00:00,01/27/2011,49,M,ARR,,0.00,505.18,0.00,01/12/2011 00:00:00,SGLINV,N/A,N/A,0.0000000,01/10/2011 00:00:00,KMPBCH,8.4400000,0.00,1.2000,8.4400000
7712636001,PB,01/16/2011 00:00:00,12/27/2010 00:00:00,01/16/2011,13,M,ARR,,0.00,22.89,0.00,01/13/2011 00:00:00,SGLINV,N/A,N/A,0.0000000,01/11/2011 00:00:00,KMPBCH,30.2400000,0.00,1.2000,30.2400000
7456282020,PB,01/13/2011 00:00:00,01/13/2011 00:00:00,02/13/2011,36,M,ARR,,-14.34,0.00,0.00,01/13/2011 00:00:00,SGLINV,N/A,N/A,0.0000000,01/13/2011 00:00:00,MITA,9.5800000,0.00,1.2000,9.5800000
8483890001,PA,12/07/2010 00:00:00,12/06/2010 00:00:00,01/06/2011,12,M,ARR,,0.00,17.31,0.00,01/13/2011 00:00:00,TTIREG,N/A,N/A,0.0000000,01/13/2011 00:00:00,NVILEB,6.3600000,0.00,1.2000,7.1000000
7710720003,PB,01/12/2011 00:00:00,01/12/2011 00:00:00,02/12/2011,36,M,ARR,,-75.00,0.00,0.00,01/13/2011 00:00:00,SGLINV,N/A,N/A,0.0000000,01/12/2011 00:00:00,SHARPB,9.8600000,0.00,1.2000,9.8600000
8485973001,PA,01/12/2011 00:00:00,12/23/2010 00:00:00,02/11/2011,42,M,ARR,,-469.50,0.00,0.00,01/13/2011 00:00:00,MEREG,N/A,N/A,0.0000000,01/11/2011 00:00:00,CTBOBN,8.5000000,0.00,1.2000,8.5000000
8484572001,PA,01/12/2011 00:00:00,12/22/2010 00:00:00,02/11/2011,42,M,ARR,,-2711.80,0.00,0.00,01/12/2011 00:00:00,MEREG,N/A,N/A,0.0000000,01/11/2011 00:00:00,CTBOBB,8.6400000,0.00,1.2000,8.6400000
8485916001,PA,01/12/2011 00:00:00,12/29/2010 00:00:00,02/11/2011,60,M,ARR,,-1004.53,0.00,0.00,01/12/2011 00:00:00,MEREG,N/A,N/A,0.0000000,01/11/2011 00:00:00,CTBOBB,8.4600000,0.00,1.2000,8.4600000
7713617001,PB,01/11/2011 00:00:00,01/11/2011 00:00:00,02/11/2011,60,M,ARR,,-75.00,0.00,0.00,01/12/2011 00:00:00,SGLINV,N/A,N/A,0.0000000,01/11/2011 00:00:00,LNRDLR,11.0400000,0.00,1.2000,11.0400000
7712772001,PB,01/12/2011 00:00:00,01/12/2011 00:00:00,02/12/2011,36,M,ARR,,0.00,676.25,0.00,01/13/2011 00:00:00,SGLINV,N/A,N/A,0.0000000,01/12/2011 00:00:00,KMPBCH,7.9700000,0.00,1.2000,7.9700000
7713065001,PB,01/12/2011 00:00:00,01/12/2011 00:00:00,01/29/2011,60,M,ARR,,0.00,606.43,0.00,01/13/2011 00:00:00,SGLINV,N/A,N/A,0.0000000,01/12/2011 00:00:00,KMPBCH,11.2200000,0.00,1.2000,11.2200000
8464539028,PA,01/21/2011 00:00:00,01/11/2011 00:00:00,02/20/2011,60,M,ARR,,0.00,695.13,0.00,01/13/2011 00:00:00,TTIREG,N/A,N/A,0.0000000,01/13/2011 00:00:00,NVILWB,5.9100000,0.00,1.2000,5.6700000
8488743001,PA,01/12/2011 00:00:00,01/10/2011 00:00:00,02/11/2011,24,M,ARR,,-13.80,0.00,0.00,01/12/2011 00:00:00,MEREG,N/A,N/A,0.0000000,01/11/2011 00:00:00,CTBOBB,13.9600000,0.00,1.2000,13.9600000
8487777001,PA,02/13/2011 00:00:00,01/11/2011 00:00:00,02/13/2011,42,M,ARR,,-1040.76,0.00,0.00,01/14/2011 00:00:00,MEREG,N/A,N/A,0.0000000,01/13/2011 00:00:00,CTBOBB,8.3400000,0.00,1.2000,8.3400000
4447458087,PA,12/09/2010 00:00:00,12/09/2010 00:00:00,02/01/2011,36,M,ARR,,0.00,0.00,0.00,01/12/2011 00:00:00,SGLINV,N/A,N/A,0.0000000,01/10/2011 00:00:00,BARLOW,8.0300000,0.00,1.2000,8.0300000
7206705004,PB,01/13/2011 00:00:00,01/13/2011 00:00:00,02/13/2011,48,M,ARR,,0.00,34.42,0.00,01/13/2011 00:00:00,SGLINV,N/A,N/A,0.0000000,01/13/2011 00:00:00,SAVDLR,9.5500000,0.00,1.2000,9.5500000
8487981001,PA,02/11/2011 00:00:00,01/07/2011 00:00:00,02/11/2011,42,M,ARR,,-560.32,0.00,0.00,01/12/2011 00:00:00,MEREG,N/A,N/A,0.0000000,01/11/2011 00:00:00,CTBOBB,8.4700000,0.00,1.2000,8.4700000
7553213003,PB,02/20/2011 00:00:00,01/12/2011 00:00:00,02/20/2011,60,M,ARR,,-75.00,0.00,0.00,01/12/2011 00:00:00,SGLINV,N/A,N/A,0.0000000,01/12/2011 00:00:00,LNRDLR,9.5600000,0.00,1.2000,9.5600000
7582715007,PB,01/11/2011 00:00:00,01/11/2011 00:00:00,02/10/2011,48,M,ARR,,-75.00,0.00,0.00,01/13/2011 00:00:00,SGLINV,N/A,N/A,0.0000000,01/11/2011 00:00:00,TRAD,10.9300000,0.00,1.2000,10.9300000
