ID	Acct_Sched	Asset_Seq_Nbr	OEC_on_Asset	Residual	Depreciation_Type	Depreciation_Cnt	Tax_Inservice_Date	Salvage_Amt	Date_In_Service	Funding_Date	Asset_Cap_Fees	
1	2151768037	0003	105319.19	9480.13	91	84	12/13/2001	0.00	12/13/2001		0.00	
2	2151768037	0005	68390.68	6155.07	91	84	12/13/2001	0.00	12/13/2001		0.00	
3	3235255007	0001	12029.58	1299.19	18	60	09/15/2010	0.00	9/15/2010	9/15/2010	0.00	
4	4065101296	0001	13268.58	1702.75	18	60	09/01/2010	0.00	9/1/2010	9/10/2010	486.00	
5	4065101296	0002	13268.58	1702.75	18	60	09/01/2010	0.00	9/1/2010	9/10/2010	216.00	
6	4065101296	0003	1140.00	141.90	18	60	09/01/2010	0.00	9/1/2010	9/10/2010	0.00	
7	4185458547	0001	8514.00	1443.97	18	60	09/01/2010	1443.97	9/1/2010	9/10/2010	0.00	
8	4185458547	0002	442.20	75.00	18	60	09/01/2010	75.00	9/1/2010	9/10/2010	0.00	
9	4185458547	0003	128.70	21.83	18	60	09/01/2010	21.83	9/1/2010	9/10/2010	0.00	
10	4185458547	0004	336.60	57.09	18	60	09/01/2010	57.09	9/1/2010	9/10/2010	0.00	
11	4185458547	0005	651.42	110.48	18	60	09/01/2010	110.48	9/1/2010	9/10/2010	0.00	
12	4185458547	0006	99.00	16.79	18	60	09/01/2010	16.79	9/1/2010	9/10/2010	0.00	
13	4185458547	0007	198.00	33.58	18	60	09/01/2010	33.58	9/1/2010	9/10/2010	0.00	
14	4185458567	0001	10263.80	1874.17	18	60	09/01/2010	1874.17	9/1/2010	9/10/2010	0.00	
15	4185458567	0002	932.83	170.33	18	60	09/01/2010	170.33	9/1/2010	9/10/2010	0.00	
16	4185458567	0003	54155.54	9888.80	18	60	09/01/2010	9888.80	9/1/2010	9/10/2010	0.00	
17	4185458567	0004	11697.60	2135.98	18	60	09/01/2010	2135.98	9/1/2010	9/10/2010	0.00	
18	4187313004	0001	43285.88	0.00	16	0	09/08/2010	0.00	9/8/2010	9/8/2010	0.00	
19	4187313004	0002	54877.05	0.00	16	0	09/08/2010	0.00	9/8/2010	9/8/2010	0.00	
20	4187313004	0003	22786.31	0.00	16	0	09/08/2010	0.00	9/8/2010	9/8/2010	0.00	
