#ACCT_SCHED,ASSET_SEQ_NBR,OEC_ON_ASSET,RESIDUAL,DEPRECIATION_TYPE,DEPRECIATION_CNT,TAX_INSERVICE_DATE,SALVAGE_AMT,DATE_IN_SERVICE,FUNDING_DATE,ASSET_CAP_FEES,DATE_ORIG_BOOKING
8405362002,0001,19336.55,0.00,16,0,01/11/2011 00:00:00,0.00,01/11/2011 00:00:00,01/12/2011 00:00:00,0.00,01/13/2011 00:00:00
8487952001,0001,13010.00,0.00,16,0,01/08/2011 00:00:00,0.00,01/08/2011 00:00:00,01/13/2011 00:00:00,0.00,01/14/2011 00:00:00
7163603003,0001,19218.27,1499.03,18,60,01/10/2011 00:00:00,0.00,01/10/2011 00:00:00,01/10/2011 00:00:00,0.00,01/12/2011 00:00:00
7610454074,0001,8271.00,827.10,18,60,01/11/2011 00:00:00,0.00,01/11/2011 00:00:00,01/11/2011 00:00:00,0.00,01/12/2011 00:00:00
8487308001,0001,27803.65,0.00,16,0,01/11/2011 00:00:00,0.00,01/11/2011 00:00:00,01/11/2011 00:00:00,0.00,01/12/2011 00:00:00
6944702003,0001,7779.17,396.74,18,60,01/12/2011 00:00:00,0.00,01/12/2011 00:00:00,01/12/2011 00:00:00,0.00,01/13/2011 00:00:00
8477880001,0001,14898.86,0.00,16,0,01/11/2011 00:00:00,0.00,01/11/2011 00:00:00,01/12/2011 00:00:00,0.00,01/13/2011 00:00:00
5432888002,0001,21781.25,0.00,16,0,01/11/2011 00:00:00,0.00,01/11/2011 00:00:00,01/13/2011 00:00:00,0.00,01/14/2011 00:00:00
8487887001,0001,21254.90,0.00,16,0,12/31/2010 00:00:00,0.00,12/31/2010 00:00:00,01/12/2011 00:00:00,0.00,01/13/2011 00:00:00
7713207001,0001,9282.87,742.63,12,72,01/10/2011 00:00:00,0.00,01/10/2011 00:00:00,01/10/2011 00:00:00,0.00,01/12/2011 00:00:00
7712636001,0001,1566.02,156.60,18,60,01/11/2011 00:00:00,0.00,01/11/2011 00:00:00,01/11/2011 00:00:00,0.00,01/13/2011 00:00:00
7456282020,0001,4044.11,422.61,18,60,01/13/2011 00:00:00,0.00,01/13/2011 00:00:00,01/13/2011 00:00:00,0.00,01/13/2011 00:00:00
8483890001,0001,13061.28,0.00,16,0,12/06/2010 00:00:00,0.00,12/06/2010 00:00:00,01/13/2011 00:00:00,0.00,01/13/2011 00:00:00
7710720003,0001,1307.01,173.83,18,60,01/12/2011 00:00:00,0.00,01/12/2011 00:00:00,01/12/2011 00:00:00,0.00,01/13/2011 00:00:00
