ST_Product_Name	PMS_Location	 EOT_Upside 
Apple Commercial	A01CSZ	0.054545969
Apple Commercial	A04CSZ	0.054545969
Apple Commercial	A4BSEC	0.054545969
Apple Commercial	A4CSEC	0.054545969
Apple Commercial	A51CSZ	0.054545969
Apple Commercial	A53CSZ	0.054545969
Apple Commercial	A5BSEC	0.054545969
Apple Commercial	A5FSEC	0.054545969
Apple Commercial	A5LSEC	0.054545969
Apple Commercial	A5SSEC	0.054545969
Apple Commercial	AB4SEC	0.054545969
Apple Commercial	AC4SEC	0.054545969
Apple Commercial	AP1CSZ	0.054545969
Apple Commercial	APBSEC	0.054545969
Apple Commercial	APC2CV	0.054545969
Apple Commercial	APCLCV	0.054545969
Apple Commercial	APCSEC	0.054545969
Apple Commercial	APPAGT	0.054545969
Apple Commercial	APPCAL	0.054545969
Apple Commercial	APPCCV	0.054545969
Apple Commercial	APPCLO	0.054545969
Apple Commercial	APPCSZ	0.054545969
Apple Commercial	APPLBS	0.054545969
Apple Commercial	APPLCV	0.054545969
Apple Commercial	APPOTH	0.054545969
Apple Commercial	APTXCV	0.054545969
Apple Commercial	AA2CSZ	0.054545969
Apple Commercial	AA4CSZ	0.054545969
Apple Commercial	AY6SEC	0.054545969
Apple Commercial	AY7SEC	0.054545969
Apple Commercial	AP1SEC	0.054545969
Apple Education	A4PSEC	0.091765193
Apple Education	AL2SEC	0.091765193
Apple Education	AL4SEC	0.091765193
Apple Education	AP2CSZ	0.091765193
Apple Education	AP2SEC	0.091765193
Apple Education	AP3SEC	0.091765193
Apple Education	APPLE2	0.091765193
Apple Education	APPLE4	0.091765193
Apple Education	APPLEC	0.091765193
Apple Education	APPSEC	0.091765193
Apple Education	NRDAPP	0.091765193
Apple Education	X4ASEC	0.091765193
Apple Education	XAPCSZ	0.091765193
Apple Education	XAPPL4	0.091765193
Apple Education	XAPPLE	0.091765193
Apple Education	XAPPPF	0.091765193
Apple Education	XAPSEC	0.091765193
Apple Education	X56CSZ	0.091765193
Apple Education	XQ8SEC	0.091765193
Apple Education	AP9CSZ	0.091765193
Bobcat Retail	CTBOBN	0.016541797
Bobcat Retail	CTBOBB	0.016541797
Bobcat Retail	CTDOON	0.016541797
Bobcat Retail	CTDOOB	0.016541797
Bobcat Retail	ICDSYN	0.016541797
Bobcat Retail	ICSSYN	0.016541797
Bobcat Retail	DOOSAN	0.016541797
Bobcat Retail	DOOSEC	0.016541797
Bobcat Retail	DOOSYN	0.016541797
Bobcat Retail	I18SEC	0.016541797
Bobcat Retail	I28SEC	0.016541797
Bobcat Retail	I38SEC	0.016541797
Bobcat Retail	I48SEC	0.016541797
Bobcat Retail	I68SEC	0.016541797
Bobcat Retail	IC6SEC	0.016541797
Bobcat Retail	IC8SEC	0.016541797
Bobcat Retail	IH8SEC	0.016541797
Bobcat Retail	IN8SEC	0.016541797
Bobcat Retail	INRCSZ	0.016541797
Bobcat Retail	IR1SEC	0.016541797
Bobcat Retail	IR2SEC	0.016541797
Bobcat Retail	IR6SEC	0.016541797
Bobcat Retail	IR7SEC	0.016541797
Bobcat Retail	IR8SEC	0.016541797
Bobcat Retail	IRAIRD	0.016541797
Bobcat Retail	IRAIRS	0.016541797
Bobcat Retail	IRAISY	0.016541797
Bobcat Retail	IRASEC	0.016541797
Bobcat Retail	IRASYN	0.016541797
Bobcat Retail	IRBOBC	0.016541797
Bobcat Retail	IRBOBS	0.016541797
Bobcat Retail	IRBSEC	0.016541797
Bobcat Retail	IRBSSY	0.016541797
